,date,Title,Amount
0,2020-08-12,Pets & Animals,1
1,2020-08-12,Travel & Events,2
2,2020-08-12,Autos & Vehicles,4
3,2020-08-12,Science & Technology,4
4,2020-08-12,Education,6
5,2020-08-12,Film & Animation,9
6,2020-08-12,Gaming,10
7,2020-08-12,Howto & Style,12
8,2020-08-12,Comedy,18
9,2020-08-12,Sports,19
10,2020-08-12,News & Politics,20
11,2020-08-12,People & Blogs,22
12,2020-08-12,Music,34
13,2020-08-12,Entertainment,39
14,2020-08-13,Pets & Animals,1
15,2020-08-13,Travel & Events,2
16,2020-08-13,Autos & Vehicles,4
17,2020-08-13,Science & Technology,5
18,2020-08-13,Education,7
19,2020-08-13,Film & Animation,8
20,2020-08-13,Gaming,12
21,2020-08-13,Howto & Style,12
22,2020-08-13,Comedy,15
23,2020-08-13,News & Politics,16
24,2020-08-13,People & Blogs,23
25,2020-08-13,Sports,24
26,2020-08-13,Entertainment,35
27,2020-08-13,Music,36
28,2020-08-14,Pets & Animals,1
29,2020-08-14,Travel & Events,2
30,2020-08-14,Autos & Vehicles,3
31,2020-08-14,Science & Technology,3
32,2020-08-14,Education,6
33,2020-08-14,Film & Animation,8
34,2020-08-14,Gaming,12
35,2020-08-14,News & Politics,12
36,2020-08-14,Howto & Style,14
37,2020-08-14,Comedy,18
38,2020-08-14,People & Blogs,21
39,2020-08-14,Sports,24
40,2020-08-14,Entertainment,36
41,2020-08-14,Music,40
42,2020-08-15,Autos & Vehicles,1
43,2020-08-15,Pets & Animals,2
44,2020-08-15,Travel & Events,2
45,2020-08-15,Science & Technology,4
46,2020-08-15,Education,6
47,2020-08-15,Film & Animation,6
48,2020-08-15,News & Politics,11
49,2020-08-15,Gaming,13
50,2020-08-15,Howto & Style,13
51,2020-08-15,Comedy,17
52,2020-08-15,People & Blogs,21
53,2020-08-15,Sports,25
54,2020-08-15,Entertainment,33
55,2020-08-15,Music,46
56,2020-08-16,Travel & Events,1
57,2020-08-16,Autos & Vehicles,2
58,2020-08-16,Pets & Animals,2
59,2020-08-16,News & Politics,3
60,2020-08-16,Science & Technology,5
61,2020-08-16,Education,6
62,2020-08-16,Film & Animation,7
63,2020-08-16,Comedy,12
64,2020-08-16,Gaming,12
65,2020-08-16,Howto & Style,12
66,2020-08-16,People & Blogs,20
67,2020-08-16,Sports,25
68,2020-08-16,Entertainment,36
69,2020-08-16,Music,57
70,2020-08-17,Travel & Events,1
71,2020-08-17,News & Politics,2
72,2020-08-17,Autos & Vehicles,3
73,2020-08-17,Pets & Animals,3
74,2020-08-17,Science & Technology,3
75,2020-08-17,Education,5
76,2020-08-17,Film & Animation,6
77,2020-08-17,Comedy,10
78,2020-08-17,Howto & Style,10
79,2020-08-17,Gaming,13
80,2020-08-17,People & Blogs,21
81,2020-08-17,Sports,24
82,2020-08-17,Entertainment,40
83,2020-08-17,Music,59
84,2020-08-18,Travel & Events,1
85,2020-08-18,Education,3
86,2020-08-18,News & Politics,3
87,2020-08-18,Pets & Animals,3
88,2020-08-18,Science & Technology,3
89,2020-08-18,Autos & Vehicles,5
90,2020-08-18,Film & Animation,6
91,2020-08-18,Howto & Style,8
92,2020-08-18,Gaming,11
93,2020-08-18,Comedy,13
94,2020-08-18,People & Blogs,18
95,2020-08-18,Sports,27
96,2020-08-18,Entertainment,46
97,2020-08-18,Music,53
98,2020-08-19,Travel & Events,2
99,2020-08-19,Pets & Animals,3
100,2020-08-19,Science & Technology,4
101,2020-08-19,Education,5
102,2020-08-19,Autos & Vehicles,6
103,2020-08-19,Film & Animation,7
104,2020-08-19,News & Politics,7
105,2020-08-19,Howto & Style,8
106,2020-08-19,Gaming,10
107,2020-08-19,Comedy,12
108,2020-08-19,People & Blogs,21
109,2020-08-19,Sports,29
110,2020-08-19,Music,38
111,2020-08-19,Entertainment,48
112,2020-08-20,Travel & Events,2
113,2020-08-20,Pets & Animals,3
114,2020-08-20,Education,4
115,2020-08-20,Science & Technology,4
116,2020-08-20,Film & Animation,6
117,2020-08-20,Autos & Vehicles,7
118,2020-08-20,Howto & Style,7
119,2020-08-20,News & Politics,11
120,2020-08-20,Comedy,15
121,2020-08-20,Gaming,15
122,2020-08-20,People & Blogs,19
123,2020-08-20,Sports,26
124,2020-08-20,Music,32
125,2020-08-20,Entertainment,49
126,2020-08-21,Travel & Events,2
127,2020-08-21,Education,3
128,2020-08-21,Pets & Animals,3
129,2020-08-21,Science & Technology,4
130,2020-08-21,Autos & Vehicles,7
131,2020-08-21,Film & Animation,8
132,2020-08-21,Howto & Style,8
133,2020-08-21,News & Politics,9
134,2020-08-21,Gaming,13
135,2020-08-21,Comedy,17
136,2020-08-21,People & Blogs,18
137,2020-08-21,Sports,25
138,2020-08-21,Music,37
139,2020-08-21,Entertainment,46
140,2020-08-22,Pets & Animals,2
141,2020-08-22,Travel & Events,2
142,2020-08-22,Education,3
143,2020-08-22,Science & Technology,3
144,2020-08-22,Autos & Vehicles,7
145,2020-08-22,Film & Animation,8
146,2020-08-22,Howto & Style,9
147,2020-08-22,News & Politics,9
148,2020-08-22,Gaming,15
149,2020-08-22,Comedy,16
150,2020-08-22,People & Blogs,19
151,2020-08-22,Sports,25
152,2020-08-22,Music,36
153,2020-08-22,Entertainment,46
154,2020-08-23,Pets & Animals,1
155,2020-08-23,Travel & Events,2
156,2020-08-23,Science & Technology,3
157,2020-08-23,Education,4
